WKT;GID;ID_HOJA;TIPO;ESTADO
"POLYGON ((446020.74 4107035.28,446022.37 4107043.27,446028.27 4107042.07,446026.64 4107034.08,446020.74 4107035.28))";"181062";"102632";EDI;USO
"POLYGON ((446050.16 4107127.71,446053.42 4107107.66,446029.09 4107103.93,446028.94 4107104.69,446027.13 4107112.67,446041.35 4107115.08,446039.91 4107125.24,446050.16 4107127.71))";"181064";"102632";EDI;USO
"POLYGON ((441430.69 4106827.08,441435.07 4106828.34,441436.56 4106828.77,441442.44 4106830.45,441445.51 4106819.73,441439.05 4106817.86,441433.76 4106816.36,441430.69 4106827.08))";"758271";"102632";EDI;USO
"POLYGON ((441527.38 4106827.78,441533.73 4106838.23,441544.41 4106831.76,441538.06 4106821.31,441527.38 4106827.78))";"758940";"102632";EDI;USO
"POLYGON ((442091.83 4106030.47,442107.83 4106031.45,442108.2 4106025.42,442092.2 4106024.44,442091.83 4106030.47))";"759271";"102632";EDI;USO
"POLYGON ((445265.15 4107488.63,445257.87 4107494.21,445256.53 4107495.24,445258.98 4107498.44,445262.14 4107502.56,445264.55 4107505.7,445268.86 4107502.39,445273.17 4107499.08,445270.72 4107495.89,445269.43 4107494.21,445267.59 4107491.81,445265.15 4107488.63))";"759354";"102632";EDI;USO
"POLYGON ((442743.92 4104893.25,442743.17 4104891.98,442744.88 4104890.91,442743.66 4104888.77,442741.94 4104889.9,442740.13 4104886.77,442741.86 4104885.7,442740.23 4104883.15,442733.59 4104887.27,442734.56 4104888.77,442734.3 4104888.65,442734.05 4104888.53,442733.75 4104888.48,442733.39 4104888.42,442733.06 4104888.49,442732.74 4104888.57,442732.51 4104888.75,442732.35 4104888.89,442732.18 4104889.14,442732.08 4104889.32,442731.94 4104889.55,442732.81 4104890.96,442728.16 4104893.72,442729.24 4104895.5,442732.13 4104900.27,442736.95 4104897.46,442738.57 4104900.15,442742.52 4104897.7,442740.99 4104895.17,442741.01 4104895.07,442743.92 4104893.25))";"759355";"102632";EDI;USO
"POLYGON ((441283.83 4106569.7,441281.24 4106582.23,441289.75 4106583.98,441292.34 4106571.45,441283.83 4106569.7))";"759962";"102632";EDI;USO
"POLYGON ((441202.08 4106710.55,441205.22 4106697.01,441195.55 4106694.74,441192.41 4106708.28,441202.08 4106710.55))";"759963";"102632";EDI;USO
"POLYGON ((441245.03 4106624.32,441242.28 4106637.95,441252.03 4106639.92,441254.78 4106626.29,441245.03 4106624.32))";"759964";"102632";EDI;USO
"POLYGON ((441463.24 4106863.8,441469.11 4106865.49,441474.99 4106867.17,441478.06 4106856.45,441472.18 4106854.76,441466.31 4106853.08,441463.24 4106863.8))";"759967";"102632";EDI;USO
"POLYGON ((441383.58 4106813.42,441389.45 4106815.11,441390.07 4106815.29,441395.33 4106816.79,441398.4 4106806.07,441393.04 4106804.51,441386.65 4106802.7,441383.58 4106813.42))";"759968";"102632";EDI;USO
"POLYGON ((442417.42 4107557.07,442427.84 4107544.1,442428.08 4107535.19,442424.99 4107533.38,442414.54 4107548.21,442401.56 4107536.87,442399.55 4107539.24,442391.91 4107536.91,442390.59 4107542.15,442400.03 4107543.31,442402.41 4107545.19,442395.21 4107554.27,442402.65 4107560.23,442409.7 4107550.96,442417.42 4107557.07))";"759969";"102632";EDI;USO
"POLYGON ((442593.57 4107618.72,442606.68 4107625.69,442611.91 4107615.86,442598.8 4107608.89,442593.57 4107618.72))";"759970";"102632";EDI;USO
"POLYGON ((442616.69 4107621.94,442611.44 4107630.38,442625.91 4107639.36,442631.15 4107630.93,442616.69 4107621.94))";"759971";"102632";EDI;USO
"POLYGON ((442381.18 4107412.39,442388.28 4107416.86,442407.27 4107400.44,442401.93 4107394.24,442381.18 4107412.39))";"759972";"102632";EDI;USO
"POLYGON ((442409.79 4107390.6,442414.38 4107395.25,442435.65 4107379.09,442430.93 4107374.32,442409.79 4107390.6))";"759973";"102632";EDI;USO
"POLYGON ((442398.11 4107383.32,442383.77 4107375.85,442374.82 4107393.04,442375.44 4107400.18,442380.01 4107402.52,442386.71 4107395.83,442395.57 4107388.2,442398.11 4107383.32))";"759974";"102632";EDI;USO
"POLYGON ((441830.26 4106096.05,441816.19 4106095.57,441815.95 4106102.65,441830.02 4106103.13,441830.26 4106096.05))";"759978";"102632";EDI;USO
