WKT;GID;ID_HOJA;TIPO;CONTEXTO;COTA
"MULTIPOINT ((446228.92 4108432.53))";"890947";"102632";TER;CGN;721.77
"MULTIPOINT ((446265.6 4108675.83))";"890948";"102632";TER;CGN;715.40
"MULTIPOINT ((445197.65 4107245.48))";"890949";"102632";TER;CGN;761.02
"MULTIPOINT ((445264.73 4107242.82))";"890950";"102632";TER;CGN;759.88
"MULTIPOINT ((446188.77 4106279.25))";"890951";"102632";TER;CGN;792.01
"MULTIPOINT ((446149.82 4106443.58))";"890952";"102632";TER;CGN;792.43
"MULTIPOINT ((446170.72 4106535.42))";"890953";"102632";TER;CGN;792.41
"MULTIPOINT ((446155.07 4106654.65))";"890954";"102632";TER;CGN;792.22
"MULTIPOINT ((446176.78 4106987.29))";"890955";"102632";TER;CGN;791.62
"MULTIPOINT ((446108.01 4107105.04))";"890956";"102632";TER;CGN;784.75
"MULTIPOINT ((446105.5 4107247.66))";"890957";"102632";TER;CGN;772.75
"MULTIPOINT ((446238.35 4107205.84))";"890958";"102632";TER;CGN;774.61
"MULTIPOINT ((446164.44 4107314.65))";"890959";"102632";TER;CGN;766.09
"MULTIPOINT ((445983.08 4107362.17))";"890960";"102632";TER;CGN;766.94
"MULTIPOINT ((446103.47 4107431.14))";"890961";"102632";TER;CGN;756.40
"MULTIPOINT ((446228.14 4107780.13))";"890962";"102632";TER;CGN;744.94
"MULTIPOINT ((446132.53 4107941.59))";"890963";"102632";TER;CGN;737.71
"MULTIPOINT ((446103.64 4108177.9))";"890964";"102632";TER;CGN;726.25
"MULTIPOINT ((445988.38 4108357.28))";"890965";"102632";TER;CGN;718.49
"MULTIPOINT ((446017.93 4108592.41))";"890966";"102632";TER;CGN;714.09
"MULTIPOINT ((446030.27 4108716.37))";"890967";"102632";TER;CGN;712.62
"MULTIPOINT ((446029.1 4108868.4))";"890968";"102632";TER;CGN;708.16
"MULTIPOINT ((445385.67 4108813.71))";"890969";"102632";TER;CGN;701.21
"MULTIPOINT ((445246.27 4108676.13))";"890970";"102632";TER;CGN;704.00
"MULTIPOINT ((445170.3 4108658.58))";"890971";"102632";TER;CGN;700.37
"MULTIPOINT ((445269.01 4108632.27))";"890972";"102632";TER;CGN;701.19
"MULTIPOINT ((445128.58 4108558.92))";"890973";"102632";TER;CGN;707.90
"MULTIPOINT ((444982.75 4108402.33))";"890974";"102632";TER;CGN;713.95
"MULTIPOINT ((444776.16 4108223.14))";"890975";"102632";TER;CGN;723.47
"MULTIPOINT ((444608.69 4108045.7))";"890976";"102632";TER;CGN;729.36
"MULTIPOINT ((444460.61 4107921.9))";"890977";"102632";TER;CGN;731.42
"MULTIPOINT ((444283.67 4107735.32))";"890978";"102632";TER;CGN;731.32
"MULTIPOINT ((444592.99 4107947.03))";"890979";"102632";TER;CGN;744.68
"MULTIPOINT ((444685.73 4107985.41))";"890980";"102632";TER;CGN;748.20
"MULTIPOINT ((444829.76 4108104.21))";"890981";"102632";TER;CGN;745.29
"MULTIPOINT ((444940.71 4108218.85))";"890982";"102632";TER;CGN;735.32
"MULTIPOINT ((445067.98 4108125.43))";"890983";"102632";TER;CGN;737.37
"MULTIPOINT ((445040.95 4107949.63))";"890984";"102632";TER;CGN;755.33
"MULTIPOINT ((444904.73 4107847.1))";"890985";"102632";TER;CGN;754.67
"MULTIPOINT ((444866.02 4107744.36))";"890986";"102632";TER;CGN;756.64
"MULTIPOINT ((444804.15 4107519.26))";"890987";"102632";TER;CGN;745.76
"MULTIPOINT ((444680.57 4107495.8))";"890988";"102632";TER;CGN;743.85
"MULTIPOINT ((444993.97 4107559.69))";"890989";"102632";TER;CGN;758.33
"MULTIPOINT ((445195.18 4107597.5))";"890990";"102632";TER;CGN;761.71
"MULTIPOINT ((445335.04 4107659.59))";"890991";"102632";TER;CGN;753.87
"MULTIPOINT ((445434.28 4107739.45))";"890992";"102632";TER;CGN;744.54
"MULTIPOINT ((445602.61 4107790.71))";"890993";"102632";TER;CGN;738.64
"MULTIPOINT ((445786.51 4107780.73))";"890994";"102632";TER;CGN;736.49
"MULTIPOINT ((445939.2 4107889.87))";"890995";"102632";TER;CGN;734.76
"MULTIPOINT ((446002.92 4107985.79))";"890996";"102632";TER;CGN;732.87
"MULTIPOINT ((445896.39 4108173.96))";"890997";"102632";TER;CGN;724.56
"MULTIPOINT ((445824.19 4108052.89))";"890998";"102632";TER;CGN;726.68
"MULTIPOINT ((445629.85 4108008.55))";"890999";"102632";TER;CGN;726.45
"MULTIPOINT ((445503.11 4108043.89))";"891000";"102632";TER;CGN;724.72
"MULTIPOINT ((445359.49 4108105.2))";"891001";"102632";TER;CGN;725.09
"MULTIPOINT ((445180.72 4108151.37))";"891002";"102632";TER;CGN;725.32
"MULTIPOINT ((445142.54 4108319.42))";"891003";"102632";TER;CGN;715.49
"MULTIPOINT ((445397.92 4108309.28))";"891004";"102632";TER;CGN;715.25
"MULTIPOINT ((445551.86 4108305.83))";"891005";"102632";TER;CGN;713.92
"MULTIPOINT ((445724.65 4108350.8))";"891006";"102632";TER;CGN;713.89
"MULTIPOINT ((445887.65 4108515.87))";"891007";"102632";TER;CGN;712.32
"MULTIPOINT ((445694.63 4108894.02))";"891008";"102632";TER;CGN;702.30
